"행정구역(시군구)별","성별","연령별","항목","단위","2023 년",
"성동구","계","100세 이상","주민등록연앙인구[명]","명","40.5",
"성동구","남자","계","주민등록연앙인구[명]","명","134427",
"성동구","남자","0 - 4세","주민등록연앙인구[명]","명","4298",
"성동구","남자","5 - 9세","주민등록연앙인구[명]","명","4732",
"성동구","남자","10 - 14세","주민등록연앙인구[명]","명","4282.5",
"성동구","남자","15 - 19세","주민등록연앙인구[명]","명","4749.5",
"성동구","남자","20 - 24세","주민등록연앙인구[명]","명","8249",
"성동구","남자","25 - 29세","주민등록연앙인구[명]","명","11941.5",
"성동구","남자","30 - 34세","주민등록연앙인구[명]","명","11411",
"성동구","남자","35 - 39세","주민등록연앙인구[명]","명","10813",
"성동구","남자","40 - 44세","주민등록연앙인구[명]","명","11120.5",
"성동구","남자","45 - 49세","주민등록연앙인구[명]","명","9515.5",
"성동구","남자","50 - 54세","주민등록연앙인구[명]","명","11287",
"성동구","남자","55 - 59세","주민등록연앙인구[명]","명","10358.5",
"성동구","남자","60 - 64세","주민등록연앙인구[명]","명","10555.5",
"성동구","남자","65 - 69세","주민등록연앙인구[명]","명","7971.5",
"성동구","남자","70 - 74세","주민등록연앙인구[명]","명","5147.5",
"성동구","남자","75 - 79세","주민등록연앙인구[명]","명","3818.5",
"성동구","남자","80세 이상","주민등록연앙인구[명]","명","4176",
"성동구","남자","80 - 84세","주민등록연앙인구[명]","명","2741.5",
"성동구","남자","85세 이상","주민등록연앙인구[명]","명","1434.5",
