itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
226490,1,KODEX 코스피,26405,2,125,0.48,26458.0,-4.8344,5302,140,3116
423160,7,KODEX KOFR금리액티브(합성),100080,3,0,0.0,100066.0,,0,0,3002
143850,4,TIGER 미국S&P500선물(H),47345,2,785,1.69,47364.0,-11.0347,31297,1483,2995
367770,2,KBSTAR Fn수소경제테마,9820,2,5,0.05,9853.0,-1.1382,12943,127,2887
332940,1,HANARO MSCI Korea TR,14080,2,80,0.57,14124.0,-7.1926,4,0,2830
290130,2,KBSTAR ESG사회책임투자,11750,2,40,0.34,11771.0,-6.3051,373,4,2755
329200,2,TIGER 리츠부동산인프라,6230,5,-5,-0.08,6233.0,6.5629,40195,250,2654
213610,2,KODEX 삼성그룹밸류,8750,2,5,0.06,8769.0,1.0865,851,7,2520
364960,2,TIGER KRX BBIG K-뉴딜,8025,2,80,1.01,8037.0,-13.922,30103,241,2512
414780,4,TIGER 차이나과창판STAR50(합성),7595,3,0,0.0,7734.0,-14.3261,25492,193,2484
091170,2,KODEX 은행,7475,5,-10,-0.13,7491.0,-4.2717,114872,861,2377
091160,2,KODEX 반도체,35140,2,115,0.33,35231.0,-1.1683,31932,1126,2372
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,9645,2,285,3.04,9646.0,-14.4425,14149,136,2350
325020,2,KODEX 배당가치,12600,2,15,0.12,12594.0,-2.9684,560,7,2293
228800,2,TIGER 여행레저,4670,2,50,1.08,4680.0,-7.6,150814,705,2197
407310,1,HANARO 200 TOP10,8155,3,0,0.0,8215.0,-6.2105,0,0,2153
368590,4,KBSTAR 미국나스닥100,11840,2,265,2.29,11798.0,-11.0915,2980,35,2025
161510,2,ARIRANG 고배당주,12375,2,5,0.04,12385.0,-0.8656,9753,121,2016
401170,2,KBSTAR iSelect메타버스,8090,2,115,1.44,8109.0,-15.9022,9760,79,1851
295040,1,SOL 200TR,12055,2,65,0.54,12040.0,-5.702,9,0,1844
132030,5,KODEX 골드선물(H),12180,5,-100,-0.81,12191.0,-0.1221,15333,186,1827
182480,7,TIGER 미국MSCI리츠(합성 H),13925,2,230,1.68,13968.0,-8.9731,11600,162,1824
412770,4,TIGER 글로벌메타버스액티브,7050,2,250,3.68,6992.0,-22.9462,35358,248,1781
168580,4,KINDEX 중국본토CSI300,26780,2,230,0.87,26468.0,-12.6502,219,5,1767
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),14835,2,425,2.95,14788.0,-17.0648,7117,105,1718
415340,4,KODEX 차이나과창판STAR50(합성),7730,2,5,0.06,7855.0,-13.9756,349,2,1716
326240,2,KBSTAR IT플러스,18110,2,110,0.61,18147.0,-8.0366,281,5,1710
192090,4,TIGER 차이나CSI300,9975,2,80,0.81,9857.0,-12.8578,2914,29,1681
390950,6,HANARO 단기채권액티브,100680,2,10,0.01,100677.0,0.2439,36632,3688,1675
245710,4,KINDEX 베트남VN30(합성),20070,5,-430,-2.1,19737.0,-13.1724,14172,285,1666
217770,5,TIGER 원유선물인버스(H),2950,5,-105,-3.44,2936.0,-29.0361,1780848,5242,1599
302450,1,KBSTAR 코스피,26640,2,145,0.55,26664.0,-5.3379,6,0,1585
379780,4,KBSTAR 미국S&P500,11260,2,115,1.03,11259.0,-4.7843,16134,181,1576
329650,7,KODEX TRF3070,10885,2,25,0.23,10853.0,-3.5524,2543,27,1535
130730,6,KOSEF 단기자금,101380,5,-5,0.0,101381.0,0.3414,28,2,1531
091230,2,TIGER 반도체,36010,2,60,0.17,36053.0,-1.2662,4988,180,1426
143860,2,TIGER 헬스케어,28460,2,320,1.14,28674.0,-6.6358,3511,99,1423
409820,4,KODEX 미국나스닥100레버리지(합성 H),5490,2,275,5.27,5459.0,-33.3121,464443,2555,1400
219480,4,KODEX 미국S&P500선물(H),19480,2,330,1.72,19471.0,-11.1988,1196,23,1383
372330,4,KODEX 차이나항셍테크,5800,2,130,2.29,5687.0,-23.5334,86277,501,1378
138540,2,TIGER 현대차그룹+펀더멘털,22950,5,-50,-0.22,22978.0,2.5641,1387,31,1354
228810,2,TIGER 미디어컨텐츠,7660,2,155,2.07,7673.0,-7.699,28252,216,1321
232080,1,TIGER 코스닥150,12240,2,60,0.49,12450.0,-0.8144,10022,123,1307
271050,5,KODEX WTI원유선물인버스(H),4230,5,-145,-3.31,4215.0,-28.5715,1568926,6634,1285
270810,1,KBSTAR 코스닥150,11985,2,115,0.97,12138.0,-1.7385,811,9,1263
332930,1,HANARO 200TR,42045,2,115,0.27,42111.0,-5.7965,4,0,1261
150460,2,TIGER 중국소비테마,7420,2,75,1.02,7420.0,-1.9491,5878,43,1229
261220,5,KODEX WTI원유선물(H),18280,2,565,3.19,18305.0,26.3101,81800,1498,1225
328370,1,ARIRANG 코스피TR,13455,2,35,0.26,13486.0,-5.1255,14,0,1191
114260,6,KODEX 국고채3년,56330,5,-155,-0.27,56320.0,-0.8862,43,2,1189
309230,4,KINDEX 미국WideMoat가치주,17415,2,180,1.04,17455.0,-3.4454,7161,124,1184
